Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,B365CH,B365CD,B365CA,HS,AS,HST,AST,PSH,PSD,PSA,HC,AC
2022-10-15,Sheffield United,Blackpool,3,3,1.57,4.0,6.0,1.66,3.8,5.25,20,10,9,3,1.55,4.27,6.62,14,4
2022-10-15,Sunderland,Wigan,2,1,2.15,3.3,3.5,2.25,3.2,3.3,8,8,3,1,2.19,3.34,3.67,1,5
2022-10-15,Watford,Norwich,2,1,2.75,3.3,2.55,2.7,3.4,2.6,16,11,9,2,2.77,3.42,2.68,3,12
2022-10-16,Hull,Birmingham,0,2,2.6,3.3,2.75,2.6,3.25,2.8,12,9,2,3,2.64,3.3,2.89,7,6
2022-10-18,Huddersfield,Preston,0,1,2.7,3.1,2.75,2.75,3.0,2.75,9,10,0,3,2.78,3.2,2.81,5,5
2022-10-18,Norwich,Luton,0,1,1.9,3.5,4.0,1.9,3.6,4.0,14,6,1,2,1.95,3.56,4.23,4,2
2022-10-18,Swansea,Reading,3,2,2.05,3.4,3.8,2.1,3.3,3.75,13,7,5,4,2.09,3.43,3.88,8,0
2022-10-18,Blackburn,Sunderland,2,0,2.25,3.2,3.4,2.4,3.2,3.2,11,13,3,4,2.33,3.25,3.43,3,7
2022-10-18,Stoke,Rotherham,0,1,1.9,3.5,4.2,1.72,3.6,5.25,29,4,12,1,1.93,3.59,4.26,8,3
2022-10-18,West Brom,Bristol City,0,2,1.7,3.8,5.0,1.72,3.8,4.75,14,6,0,2,1.73,3.96,4.99,13,1
2022-10-19,Birmingham,Burnley,1,1,3.6,3.3,2.1,3.6,3.3,2.1,14,9,2,1,3.78,3.45,2.11,8,4
2022-10-19,Blackpool,Hull,1,3,2.05,3.4,3.75,2.15,3.3,3.5,8,11,1,3,2.1,3.43,3.85,2,4
2022-10-19,Coventry,Sheffield United,1,0,2.9,3.1,2.6,2.87,3.1,2.6,7,18,2,3,2.94,3.43,2.52,4,10
2022-10-19,QPR,Cardiff,3,0,2.15,3.4,3.4,2.37,3.3,3.1,22,4,10,0,2.22,3.35,3.58,6,2
2022-10-19,Wigan,Middlesbrough,1,4,2.8,3.25,2.6,2.9,3.1,2.62,10,16,5,7,2.91,3.12,2.75,4,4
2022-10-19,Millwall,Watford,3,0,2.6,3.2,2.8,2.37,3.2,3.1,12,13,4,2,2.59,3.25,2.99,2,5
2022-10-22,Blackpool,Preston,4,2,2.62,3.2,2.8,3.0,3.0,2.55,11,18,5,6,2.79,3.24,2.78,1,6
2022-10-22,Blackburn,Birmingham,2,1,2.05,3.25,3.75,2.15,3.2,3.6,5,17,3,6,2.11,3.36,3.89,2,9
2022-10-22,Middlesbrough,Huddersfield,0,0,1.66,3.75,5.5,1.66,3.8,5.25,11,9,2,4,1.68,3.95,5.44,3,5
2022-10-22,Millwall,West Brom,2,1,2.75,3.1,2.75,2.8,3.1,2.62,18,8,3,2,2.78,3.23,2.79,5,2
2022-10-22,QPR,Wigan,2,1,1.95,3.5,4.0,1.95,3.5,4.0,9,11,4,2,2.01,3.52,4.05,5,4
2022-10-22,Reading,Bristol City,2,0,2.5,3.25,2.9,2.55,3.4,2.75,15,5,4,0,2.58,3.38,2.91,10,5
2022-10-22,Rotherham,Hull,2,4,2.25,3.3,3.3,2.5,3.3,2.8,11,19,3,13,2.34,3.31,3.35,4,7
2022-10-22,Sheffield United,Norwich,2,2,2.3,3.3,3.25,2.2,3.4,3.3,22,10,8,6,2.4,3.38,3.18,4,9
2022-10-22,Stoke,Coventry,0,2,2.15,3.3,3.5,2.1,3.4,3.6,11,8,2,3,2.18,3.45,3.58,9,2
2022-10-22,Sunderland,Burnley,2,4,3.2,3.25,2.3,3.4,3.1,2.3,10,9,5,4,3.19,3.37,2.39,2,5
2022-10-23,Swansea,Cardiff,2,0,2.1,3.3,3.5,2.1,3.25,3.6,13,3,6,1,2.16,3.52,3.57,7,1
2022-10-23,Watford,Luton,4,0,2.2,3.3,3.4,2.2,3.25,3.4,13,9,8,3,2.29,3.31,3.45,6,1
2022-10-25,Coventry,Rotherham,2,2,1.72,3.5,5.25,1.65,3.5,5.75,21,10,7,4,1.76,3.61,5.4,6,1
2022-10-25,Burnley,Norwich,1,0,2.1,3.4,3.5,1.9,3.5,4.0,17,5,2,2,2.21,3.49,3.47,5,4
2022-10-28,Birmingham,QPR,2,0,2.25,3.3,3.2,2.4,3.3,2.9,7,15,3,4,2.34,3.37,3.3,2,10
